"CODIGO IMPA","DESCRIÇÃO EM PORTUGUÊS","DESCRIÇÃO EM INGLÊS","Unnamed: 2"
"150127","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO -  TAMANHO: 2.286MM X 2.500MM                                                                           ","SHEET ALL COTTON WHITE 2286X2500MM                                                                                                                    ",""
"150128","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 2.286MM X 2.600MM                                                                            ","SHEET ALL COTTON WHITE 2286X2600MM                                                                                                                    ",""
"150141","LENCOL DE CASAL                                                                                                                                       ","SHEET ALL COTTON BLUE 1370X2300MM                                                                                                                     ",""
"150142","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 1.370MM X 2.500MM                                                                              ","SHEET ALL COTTON BLUE 1370X2500MM                                                                                                                     ",""
"150143","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 1.370MM X 2.600MM                                                                              ","SHEET ALL COTTON BLUE 1370X2600MM                                                                                                                     ",""
"150146","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 1.500MM X 2.400MM                                                                              ","SHEET ALL COTTON BLUE 1500X2400MM                                                                                                                     ",""
"150151","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 1.600MM X 2.820MM                                                                              ","SHEET ALL COTTON BLUE 1600X2820MM                                                                                                                     ",""
"150156","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 1.828MM X 2.300MM                                                                              ","SHEET ALL COTTON BLUE 1828X2300MM                                                                                                                     ",""
"150157","LENCOL: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 1.828MM X 2.500MM                                                                                    ","SHEET ALL COTTON BLUE 1828X2500MM                                                                                                                     ",""
"150158","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 1.828MM X 2.600MM                                                                              ","SHEET ALL COTTON BLUE 1828X2600MM                                                                                                                     ",""
"150161","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 2.030MM X 2.400MM                                                                              ","SHEET ALL COTTON BLUE 2030X2400MM                                                                                                                     ",""
"150162","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 2.030 X 2.500MM                                                                                ","SHEET ALL COTTON BLUE 2030X2500MM                                                                                                                     ",""
"150163","LENCOL - COR: AZUL - MATERIAL: 100% ALGODAO - TAMANHO: 2.030MM X 2.600MM                                                                              ","SHEET ALL COTTON BLUE 2030X2600MM                                                                                                                     ",""
"150181","LENÇOL - MATERIAL: 50% POLIÉSTER. 50% ALGODÃO - TIPO: NÃO PRECISA PASSAR- TAMANHO: 1.370MM X 2.300MM                                                  ","SHEET POLYESTER/COTTON WHITE NON-IRONING 1370X2300MM                                                                                                  ",""
"150182","LENÇOL - MATERIAL: 50% POLIÉSTER. 50% ALGODÃO - TIPO: NÃO PRECISA PASSAR- TAMANHO: 1.828MM X 2.500MM                                                  ","SHEET POLYESTER/COTTON WHITE NON-IRONING 1828X2500MM                                                                                                  ",""
"150201","COLCHAO DE ESPUMA DE BORRACHA - 2000 X 900                                                                                                            ","MATTRESS FOAM RUBBER 900X2000X150MM                                                                                                                   ",""
"150202","COLCHAO - MATERIAL: ESPUMA DE BORRACHA - TAMANHO L1.350MM X C2.000MM X A150MM                                                                         ","MATTRESS FOAM RUBBER 1350X2000X150MM                                                                                                                  ",""
"150206","COLCHÃO - MATERIAL: MOLA - TAMANHO: L900MM X C2.000MM X A150MM                                                                                        ","MATTRESS SPRING TYPE 900X2000X150MM                                                                                                                   ",""
"150207","COLCHÃO - TIPO: DE MOLA - TAMANHO: L1.350MM X C2.000MM X A150MM                                                                                       ","MATTRESS SPRING TYPE 1350X2000X150MM                                                                                                                  ",""
"150231","COLCHAO DE SOLTEIRO                                                                                                                                   ","MATTRESS INDIVIDUAL SPRING SINGLE 970X1980X170MM                                                                                                      ",""
"150232","COLCHÃO - TIPO: MOLAS INDIVIDUAIS. VIÚVA - TAMANHO: L1.200MM X C1.980MM X A170MM                                                                      ","MATTRESS INDIVIDUAL SPRING SEMI DOUBLE 1200X1980X170MM                                                                                                ",""
"150233","COLCHAO DE CASAL                                                                                                                                      ","MATTRESS INDIVIDUAL SPRING DOUBLE 1370X1980X170MM                                                                                                     ",""
"150234","COLCHÃO - TIPO: MOLAS INDIVIDUAIS. RAINHA (QUEEN) - TAMANHO: L1.520MM X C1.980MM X A170MM                                                             ","MATTRESS INDIVIDUAL SPRING QUEEN 1520X1980X170MM                                                                                                      ",""
"150241","SUPORTE-BASE P/ COLCHÃO - TIPO: SOLTEIRO - TAMANHO: L960MM X C1.970MM X A195MM                                                                        ","FOUNDATION INDIVIDUAL SPRING SINGLE 960X1970X195MM                                                                                                    ",""
"150242","SUPORTE-BASE P/ COLCHÃO - TIPO: VIÚVA - TAMANHO: L1190MM X C1.970MM X A195MM                                                                          ","FOUNDATION INDIVIDUAL SPRING SEMI-DOUBLE 1190X1970X195MM                                                                                              ",""
"150243","SUPORTE-BASE P/ COLCHÃO - TIPO: CASAL - TAMANHO: L1360MM X C1.970MM X A195MM                                                                          ","FOUNDATION INDIVIDUAL SPRING DOUBLE 1360X1970X195MM                                                                                                   ",""
"150244","SUPORTE-BASE P/ COLCHÃO - TIPO: RAINHA (QUEEN) - TAMANHO: L960MM X C1.970MM X A195MM                                                                  ","FOUNDATION INDIVIDUAL SPRING QUEEN 1510X1970X195MM                                                                                                    ",""
"150281","TRAVESSEIRO - MATERIAL: POLIURETANO - TAMANHO: 600MM X 400MM                                                                                          ","PILLOW FOAM RUBBER 400X600MM                                                                                                                          ",""
"150282","TRAVESSEIROS DE SEDA - 600MM X 400MM                                                                                                                  ","PILLOW KAPOK 600X400MM                                                                                                                                ",""
"150283","TRAVESSEIRO -  MATERIAL: PENA - TAMANHO: 690MM X 460MM                                                                                                ","PILLOW FEATHER 690X460MM                                                                                                                              ",""
"150286","FRONHA DE ALGODAO BRANCA 750MMX500MMX200MM                                                                                                            ","PILLOW CASE WHITE REGULAR 750X500X200MM                                                                                                               ",""
"150287","FRONHA 100% ALGODAO - AZUL - 750MM X 500MM X 200MM                                                                                                    ","PILLOW CASE BLUE REGULAR 750X500X200MM                                                                                                                ",""
"150301","COBERTOR - MATERIAL: 100%  LÃ - COR: BRANCO - TAMANHO: 1.400MM X 2.000MM                                                                              ","BLANKET WOOL 100% 1400X2000MM WHITE                                                                                                                   ",""
"150302","COBERTOR - MATERIAL: 100%  LÃ - COR: MOSTARDA CLARO - TAMANHO: 1.400MM X 2.000MM                                                                      ","BLANKET WOOL 100% 1400X2000MM CAMEL                                                                                                                   ",""
"150303","COBERTOR -  MATERIAL: 100% LÃ - COR: AZUL - TAMANHO: 1.400MM X 2.000MM                                                                                ","BLANKET WOOL 100% 1400X2000MM BLUE                                                                                                                    ",""
"150306","COBERTOR - MATERIAL: 100%  LÃ - COR: AZUL - TAMANHO: 1.500MM X 2.000MM                                                                                ","BLANKET WOOL 100% 1500X2000MM BLUE                                                                                                                    ",""
"150311","COBERTOR - MATERIAL: 100%  LÃ - COR: BRANCO - TAMANHO: 1.800MM X 2.300MM                                                                              ","BLANKET WOOL 100% 1800X2300MM WHITE                                                                                                                   ",""
"150312","COBERTOR 100%  LA  / MOSTARDA CLARO 1.800MM X 2.300MM                                                                                                 ","BLANKET WOOL 100% 1800X2300MM CAMEL                                                                                                                   ",""
"150313","COBERTOR - MATERIAL: 100%  LÃ - COR: AZUL - TAMANHO: 1.800MM X 2.300MM                                                                                ","BLANKET WOOL 100% 1800X2300MM BLUE                                                                                                                    ",""
